,name,price,cluster_group
0,"Apple MacBook Pro M1 2020 13"" 8 GB RAM & 256 GB SSD - Space Grey",10622,0.0
1,"Samsung Galaxy Book Pro 360 - Intel Core i7 & 15"" AMOLED FHD",11999,0.0
2,ASUS ROG Strix G17 G713QM-HX015T - RTX3060 & Ryzen 7 5800H,11999,0.0
3,Lenovo Legion 5 Pro 16ACH6H - RTX3070 & Ryzen 7 5800H,12499,0.0
4,MSI Summit E13 Flip Evo - Intel Core i7 1185G7 & 32 GB RAM,14546,0.0
5,ASUS ROG Zephyrus G14 GA401IV-HE133T - Ryzen 9 & RTX 2060,15999,0.0
6,ASUS VivoBook 14 K413EA-AM756T - 256 GB SSD & 8 GB RAM,3999,0.0
7,Lenovo IdeaPad Flex 5 14ARE05 - 8 GB RAM & 256 SSD,4490,0.0
8,ASUS VivoBook 14 M413IA-EB140T - Ryzen 5 & 512GB SSD,4699,0.0
9,Lenovo ThinkBook 15 G2 ARE - Ryzen 5 4600U & 8 GB RAM,5099,0.0
10,ASUS VivoBook S15 M533IA-BQ023T - Ryzen 7 & 512 GB SSD,5499,0.0
11,Lenovo ThinkPad E15 Gen 2 - Intel Core i5 1135G7 & 8 GB RAM,5999,0.0
12,Lenovo IdeaPad 5 15ARE05 - Ryzen 7 & 512GB SSD,6795,0.0
13,ASUS VivoBook Flip 14 TM420IA-EC070T - Ryzen 7 4700U & 16 GB RAM,6999,0.0
14,Lenovo ThinkPad E14 Gen 2 - Intel Core i7 1165G7 & 16 GB RAM,7249,0.0
15,Lenovo Legion 5 15ARH05H,7299,0.0
16,Lenovo ThinkBook 15 G2 ITL - Intel Core i7 1165G7 & 16 GB RAM,7452,0.0
17,Lenovo IdeaPad Flex 5 14ARE05 - Ryzen 7 & 512GB SSD,7499,0.0
18,ASUS ZenBook 14 UX425JA-PURE13 - Intel Core i7 1065G7 & 16 GB RAM,7899,0.0
19,Lenovo ThinkPad E15 Gen 2 - Intel Core i7 1165G7 & 16 GB RAM,7998,0.0
20,Lenovo Yoga Slim 7 Pro 14ACH5 - 16 GB RAM & Ryzen 7 5800H,7999,0.0
